Generation,Best_Fitness,Avg_Fitness,Success_Rate_Perc,Species_Count,Expert_Help_Weight
1,4.65,4.65,0.0,1,0.0
2,2.15,2.15,0.0,1,0.0
3,0.1,0.1,0.0,8,0.0
4,0.1,0.1,0.0,8,0.0
5,4.99,4.99,0.0,8,0.0
6,5.1,5.1,0.0,8,0.0
7,73.64,0.42,0.0,8,0.0
8,4489.88,16.74,0.2,8,0.0
9,0.1,0.1,0.0,8,0.0
10,3.09,0.69,0.0,8,0.0
11,214.77,2.31,0.0,8,0.0
12,1372.27,8.28,0.0,8,0.0
13,4551.22,21.84,0.2,8,0.0
14,0.1,0.1,0.0,8,0.0
15,27.43,5.41,0.0,8,0.0
16,306.59,12.39,0.0,8,0.0
17,349.46,5.63,0.0,8,0.0
18,210.86,13.05,0.0,8,0.0
19,110.78,14.79,0.0,8,0.0
20,0.1,0.1,0.0,8,0.0
21,1039.82,20.21,0.0,8,0.0
22,4492.22,24.74,0.2,8,0.0
23,424.38,21.22,0.0,8,0.0
24,238.49,27.74,0.0,8,0.0
25,246.95,13.6,0.0,7,0.0
26,248.3,2.98,0.0,7,0.0
27,263.24,26.48,0.0,7,0.0
28,452.69,24.67,0.0,7,0.0
29,263.12,3.36,0.0,7,0.0
30,74.01,4.29,0.0,7,0.0
31,263.16,10.85,0.0,7,0.0
32,1498.9,10.66,0.0,5,0.0
33,2857.86,29.39,0.0,5,0.0
34,1731.92,12.05,0.0,5,0.0
35,107.03,15.15,0.0,5,0.0
36,312.57,14.38,0.0,5,0.0
37,234.65,16.26,0.0,5,0.0
38,67.56,10.89,0.0,5,0.0
39,273.14,40.92,0.0,5,0.0
40,529.61,10.47,0.0,5,0.0
41,249.83,2.41,0.0,5,0.0
42,282.09,12.41,0.0,5,0.0
43,62.26,11.39,0.0,5,0.0
44,56.19,1.21,0.0,5,0.0
45,419.37,9.71,0.0,5,0.0
46,319.84,17.81,0.0,5,0.0
47,241.07,55.65,0.0,5,0.0
48,296.88,3.71,0.0,5,0.0
49,45.77,1.52,0.0,5,0.0
50,239.84,18.72,0.0,5,0.0
51,228.83,36.44,0.0,5,0.0
52,483.9,17.4,0.0,5,0.0
53,286.46,24.64,0.0,5,0.0
54,223.87,7.31,0.0,5,0.0
55,261.28,13.29,0.0,5,0.0
56,95.99,18.31,0.0,5,0.0
57,93.64,15.83,0.0,5,0.0
58,291.3,13.38,0.0,5,0.0
59,66.75,1.85,0.0,5,0.0
60,293.22,15.38,0.0,5,0.0
61,101.15,6.2,0.0,5,0.0
62,269.9,40.95,0.0,5,0.0
63,225.58,2.56,0.0,5,0.0
64,298.86,11.02,0.0,5,0.0
65,313.85,6.08,0.0,5,0.0
66,598.8,21.07,0.0,5,0.0
67,68.46,3.88,0.0,5,0.0
68,31.18,0.6,0.0,5,0.0
69,35.79,2.34,0.0,5,0.0
70,44.29,2.94,0.0,5,0.0
71,39.15,3.95,0.0,5,0.0
72,230.26,3.29,0.0,5,0.0
73,472.72,19.17,0.0,5,0.0
74,245.31,12.79,0.0,5,0.0
75,396.41,26.43,0.0,5,0.0
76,96.59,4.27,0.0,5,0.0
77,273.02,20.97,0.0,5,0.0
78,0.1,0.1,0.0,5,0.0
79,0.1,0.1,0.0,5,0.0
80,309.04,8.36,0.0,5,0.0
81,275.98,37.58,0.0,5,0.0
82,1059.36,31.62,0.0,5,0.0
83,2293.68,20.32,0.0,5,0.0
84,260.2,31.94,0.0,5,0.0
85,435.39,6.67,0.0,5,0.0
86,308.63,13.65,0.0,5,0.0
87,0.1,0.1,0.0,5,0.0
88,65.53,9.29,0.0,5,0.0
89,101.75,6.85,0.0,5,0.0
90,397.35,15.03,0.0,5,0.0
91,289.02,18.0,0.0,5,0.0
92,2231.16,62.22,0.0,5,0.0
93,43.67,7.95,0.0,5,0.0
94,243.82,9.21,0.0,5,0.0
95,2974.2,19.04,0.0,5,0.0
96,122.61,30.25,0.0,5,0.0
97,69.8,7.52,0.0,5,0.0
